,time,window,vertices,edges,new_vertices,prop_new,vert_shuffled_mean,vert_shuffled_sd,edge_shuffled_mean,edge_shuffled_sd,cc_shuffled_mean,cc_shuffled_sd
0,2009-09-30 03:56:28,0,10,15,,,,,,,,
1,2009-10-01 03:56:28,0,11,19,,,,,,,,
2,2009-10-02 03:56:28,0,16,29,,,,,,,,
3,2009-10-03 03:56:28,0,21,42,,,,,,,,
4,2009-10-04 03:56:28,0,23,48,,,,,,,,
5,2009-10-05 03:56:28,0,25,55,,,,,,,,
6,2009-10-06 03:56:28,0,28,68,,,,,,,,
7,2009-10-07 03:56:28,0,32,79,,,,,,,,
8,2009-10-08 03:56:28,0,34,94,,,,,,,,
9,2009-10-09 03:56:28,0,35,104,,,,,,,,
10,2009-10-10 03:56:28,0,41,125,,,,,,,,
11,2009-10-11 03:56:28,0,45,143,,,,,,,,
12,2009-10-12 03:56:28,0,58,176,,,,,,,,
13,2009-10-13 03:56:28,0,66,211,,,,,,,,
14,2009-10-14 03:56:28,0,73,259,,,,,,,,
15,2009-10-15 03:56:28,0,89,311,,,,,,,,
16,2009-10-16 03:56:28,0,124,422,,,,,,,,
17,2009-10-17 03:56:28,0,154,563,,,,,,,,
18,2009-10-18 03:56:28,0,188,700,,,,,,,,
19,2009-10-19 03:56:28,0,220,817,,,,,,,,
20,2009-10-20 03:56:28,0,257,988,,,,,,,,
21,2009-10-21 03:56:28,0,298,1187,,,,,,,,
22,2009-10-22 03:56:28,0,342,1402,,,,,,,,
23,2009-10-23 03:56:28,0,379,1613,,,,,,,,
24,2009-10-24 03:56:28,0,416,1831,,,,,,,,
25,2009-10-25 02:56:28,0,439,2008,,,,,,,,
26,2009-10-26 02:56:28,0,455,2163,,,,,,,,
27,2009-10-27 02:56:28,0,478,2289,,,,,,,,
28,2009-10-28 02:56:28,0,500,2466,,,,,,,,
29,2009-10-29 02:56:28,0,524,2700,,,,,,,,
30,2009-10-30 02:56:28,0,537,2874,,,,,,,,
31,2009-10-31 02:56:28,0,550,3019,,,,,,,,
32,2009-11-01 02:56:28,0,562,3125,,,,,,,,
33,2009-11-02 02:56:28,0,575,3218,,,,,,,,
