DateTime	Actor	Recipient	Behavior	Category	Duration	Point
13/06/2019 09:35	EWINE		Invisible	Other	34	NO
13/06/2019 09:35	EWINE		Other	Other	21	NO
13/06/2019 09:35	EWINE		Invisible	Other	42	NO
13/06/2019 09:36	EWINE		Other	Other	2	NO
13/06/2019 09:36	EWINE		Invisible	Other	30	NO
13/06/2019 09:37	EWINE		Other	Other	7	NO
13/06/2019 09:37	EWINE		Resting	Affiliative	38	NO
13/06/2019 09:37	EWINE		Other	Other	5	NO
13/06/2019 09:38	EWINE		Invisible	Other	48	NO
13/06/2019 09:38	EWINE		Other	Other	2	NO
13/06/2019 09:38	EWINE		Invisible	Other	66	NO
13/06/2019 09:40	VIOLETTE		Invisible	Other	63	NO
13/06/2019 09:41	VIOLETTE		Other	Other	1	NO
13/06/2019 09:41	VIOLETTE		Invisible	Other	237	NO
13/06/2019 09:45	HARLEM		Invisible	Other	302	NO
13/06/2019 09:50	ANGELE	FELIPE	Grooming	Affiliative	6	NO
13/06/2019 09:50	FELIPE		Invisible	Other	4	NO
13/06/2019 09:50	ANGELE	FELIPE	Grooming	Affiliative	4	NO
13/06/2019 09:50	FELIPE		Invisible	Other	16	NO
13/06/2019 09:51	FELIPE	ANGELE	Resting	Affiliative	8	NO
13/06/2019 09:51	FELIPE	LIPS	Resting	Affiliative	8	NO
13/06/2019 09:51	ANGELE	FELIPE	Grooming	Affiliative	36	NO
13/06/2019 09:51	FELIPE		Other	Other	21	NO
13/06/2019 09:52	FELIPE	ANGELE	Resting	Affiliative	5	NO
13/06/2019 09:52	FELIPE		Other	Other	27	NO
13/06/2019 09:52	FELIPE	NEKKE	Resting	Affiliative	27	NO
13/06/2019 09:52	FELIPE	LOME	Resting	Affiliative	27	NO
13/06/2019 09:52	FELIPE	BOBO	Resting	Affiliative	27	NO
13/06/2019 09:53	FELIPE	NEKKE	Resting	Affiliative	50	NO
13/06/2019 09:53	FELIPE	LOME	Resting	Affiliative	50	NO
13/06/2019 09:53	FELIPE	ANGELE	Resting	Affiliative	50	NO
13/06/2019 09:54	FELIPE		Other	Other	11	NO
13/06/2019 09:54	FELIPE		Resting	Affiliative	12	NO
13/06/2019 09:54	FELIPE		Other	Other	18	NO
13/06/2019 09:54	FELIPE	ATMOSPHERE	Resting	Affiliative	35	NO
13/06/2019 09:55	FEYA		Other	Other	27	NO
13/06/2019 09:56	FEYA		Invisible	Other	128	NO
13/06/2019 09:58	FEYA		Other	Other	104	NO
13/06/2019 10:00	FEYA		Resting	Affiliative	8	NO
13/06/2019 10:00	FEYA		Other	Other	19	NO
13/06/2019 10:00	FEYA	FANA	Presenting	Affiliative	0	YES
13/06/2019 10:00	ATMOSPHERE	LIPS	Playing with	Affiliative	4	NO
13/06/2019 10:00	ATMOSPHERE		Other	Other	15	NO
13/06/2019 10:01	LIPS	ATMOSPHERE	Grooming	Affiliative	275	NO
